probe_id,mean_control,mean_dmd,log2FC
219764_at,2.6989909351666665,7.204577997375001,4.505587062208335
202966_at,5.040646328333334,9.5250650023125,4.4844186739791665
227971_at,3.3349238876666667,7.8005783883125,4.465654500645833
235343_at,2.7189944596666664,7.16270677625,4.443712316583333
211039_at,2.8567697005000006,7.219287902000001,4.3625182015
219607_s_at,4.350813907666667,8.705241898874998,4.354427991208332
223343_at,4.9845755941666665,9.299219074437499,4.314643480270832
210198_s_at,3.4068908935,7.6833071475625,4.2764162540625
214357_at,3.058644825833333,7.3005389754375,4.2418941496041676
223475_at,3.3792410333333334,7.616745500375,4.237504467041667
225241_at,4.410508015833334,8.623822538499999,4.213314522666665
206633_at,7.051546218333333,11.260937233124999,4.209391014791666
205399_at,4.187867029833334,8.389585196562498,4.201718166729164
215049_x_at,3.287411689166667,7.4831768511875,4.195765162020834
212488_at,5.539264283666667,9.731340950625,4.192076666958333
205943_at,2.398783567666666,6.5488926043125,4.1501090366458335
209596_at,6.551877109333333,10.698122218250003,4.14624510891667
204955_at,6.1948558175,10.33603358925,4.141177771750001
223280_x_at,4.849878713,8.9618371893125,4.111958476312501
210095_s_at,7.077855016,11.156404924749998,4.078549908749998
205666_at,3.0767648276666666,7.1061681580625,4.029403330395834
212143_s_at,5.381931942166666,9.4096171628125,4.027685220645834
201852_x_at,10.432428443000001,14.456157113749999,4.023728670749998
209540_at,6.764212054333334,10.738241639375001,3.9740295850416674
228640_at,2.9431547773333335,6.911940181624999,3.9687854042916655
212681_at,3.495677571,7.434429498437499,3.938751927437499
221729_at,7.5158760285,11.45403426,3.9381582315
203645_s_at,4.9918280453333335,8.9182828675,3.926454822166667
224356_x_at,5.087586030166666,9.0136220445625,3.926036014395833
215076_s_at,11.405722124999999,15.325299245,3.9195771200000014
1557422_at,3.2694795311666667,7.184765972812502,3.9152864416458355
238481_at,3.8228266985,7.720530998,3.8977042995
226189_at,3.1142770106666666,7.011587265625,3.897310254958333
219666_at,4.639701012166667,8.531420478375,3.8917194662083334
