entrez_id,mean_log2FC,n_probes,gene_symbol
50937.0,-0.08391758162500018,3,CDON
1615.0,-0.08395322312499864,2,DARS
84614.0,-0.08397262354166661,3,ZBTB37
3338.0,-0.08398794882499985,5,DNAJC4
114327.0,-0.08403657641666588,3,EFHC1
55621.0,-0.08404612945833338,3,TRMT1
8883.0,-0.08410297574999781,1,NAE1
10301.0,-0.08411140612500034,1,DLEU1
129285.0,-0.08412028106249947,2,PPP1R21
85403.0,-0.0841565823749999,1,EAF1
729678.0,-0.08418480462500089,1,LINC00847
25780.0,-0.08418591093749983,2,RASGRP3
54441.0,-0.08423824343750042,2,STAG3L1 /// STAG3L2 /// STAG3L3
83444.0,-0.08429331066666723,3,INO80B /// INO80B-WBP1
83444.0,-0.08429331066666723,3,INO80B
153090.0,-0.08429343066666754,3,DAB2IP
79042.0,-0.08430022887500055,1,TSEN34
10548.0,-0.08433828880000042,5,TM9SF1
10548.0,-0.08433828880000042,5,IPO4 /// TM9SF1
10548.0,-0.08433828880000042,5,CHMP4A /// TM9SF1
23439.0,-0.08439261156249867,2,ATP1B4
1307.0,-0.08441340899999972,1,COL16A1
79925.0,-0.08442347070833318,3,SPEF2
23508.0,-0.08446965781249993,2,TTC9
