entrez_id,mean_log2FC,n_probes
6664,2.7994364308749997,3
4013,2.7887296698437503,2
56126,2.788452510270833,1
25903,2.7750819005833334,1
590,2.768345239875001,1
79895,2.768240186166667,1
12,2.760604232354167,1
90865,2.760435106958334,1
5696,2.760328065416667,1
9332,2.7548902466875003,3
2213,2.751866304333332,1
4212,2.732086493145834,1
5168,2.731627256708332,2
114801,2.7286213820625,1
57061,2.7240022163958333,1
284611,2.7166801871249997,1
11326,2.7114011473958337,1
150,2.6956030503750004,1
822,2.6916256980416664,1
5654,2.687942728729168,1
8483,2.687524178062498,1
81578,2.6820138279374985,1
10184,2.6751075831250004,1
158295,2.666345978249999,1
3059,2.6636157213541667,1
5328,2.6525889724270826,2
714,2.6470436042916665,1
338773,2.6442855508125,1
5157,2.6427437456666683,1
51673,2.6416252828958333,1
712,2.6371908182291675,1
2207,2.6339004777708324,2
3122,2.6316207777916674,2
25925,2.62568599303125,2
203427,2.623587791708335,1
4069,2.618998759489586,2
1293,2.616074541499998,1
10561,2.615602061145834,2
1520,2.605251391638889,3
2195,2.5969693957083315,1
56271,2.5862343084583337,1
9770,2.5830265233333325,1
81698,2.5796226021874995,1
79901,2.5721626521458334,2
255743,2.566860588291668,2
8460,2.5578492779166657,1
151473,2.552632576708332,1
54443,2.551779782322917,2
1123,2.535068828729165,1
834,2.5260926291180557,6
716,2.5217611977604184,2
10457,2.517491088385416,2
3479,2.5078950552,5
1026,2.5075202183541654,1
221756,2.506693141541668,1
54674,2.5047400584999995,2
90161,2.5000789985069445,3
70,2.4966109315,1
256987,2.490964176104166,1
80310,2.4865151033020823,2
2191,2.486153415395834,1
3126,2.4683714483750006,2
55803,2.4663090240833325,2
994,2.4656674875624995,1
1475,2.4636289886875007,1
7852,2.463515437979167,3
5577,2.4612575979374998,1
79805,2.4584207819791666,3
140578,2.456255526229168,1
84466,2.4526849760555556,3
116362,2.448185320604167,1
114299,2.4443592157916667,1
5919,2.4440960111250005,1
3684,2.4397204343750003,1
79686,2.430592422208332,1
25934,2.4296596096666656,1
6678,2.4270734604166666,2
