probe_id,gene_symbol,entrez_id
1552613_s_at,CDC42SE2,56990.0
1552615_at,ACACB,32.0
1552616_a_at,ACACB,32.0
1552617_a_at,RFWD2,64326.0
1552618_at,STX6,10228.0
1552619_a_at,ANLN,54443.0
1552620_at,SPRR4,163778.0
1552621_at,POLR2J /// POLR2J2 /// POLR2J3 /// UPK3BL,5439.0
1552622_s_at,LOC441259 /// POLR2J /// POLR2J2 /// POLR2J3 /// UPK3BL,5439.0
1552623_at,HSH2D,84941.0
1552625_a_at,TRNT1,51095.0
1552626_a_at,TMEM163,81615.0
1552627_a_at,ARHGAP5,394.0
1552628_a_at,HERPUD2,64224.0
1552629_a_at,JMJD6,23210.0
1552630_a_at,SRCAP,10847.0
1552631_a_at,MAP3K6,9064.0
1552632_a_at,ARSG,22901.0
1552633_at,ZNF101,94039.0
1552634_a_at,ZNF101,94039.0
1552637_at,PTPN11,5781.0
1552639_at,KLHDC7B,113730.0
1552641_s_at,ATAD3A /// ATAD3B,55210.0
1552643_at,ZNF626,199777.0
1552644_a_at,PHC3,80012.0
1552646_at,IL11RA,3590.0
1552648_a_at,TNFRSF10A,8797.0
1552649_a_at,RAD51L3-RFFL /// RFFL,117584.0
1552651_a_at,RAD51L3-RFFL /// RFFL,117584.0
1552652_at,HPS4,89781.0
1552656_s_at,UHMK1,127933.0
1552657_a_at,TXNDC2,84203.0
1552658_a_at,NAV3,89795.0
1552660_a_at,C5orf22,55322.0
1552661_at,PCDHGB7,56099.0
1552662_a_at,PCDHGB7,56099.0
1552663_a_at,ERC1,23085.0
1552664_at,FLCN,201163.0
1552665_at,JMJD1C-AS1,84989.0
1552666_a_at,LRRC7,57554.0
1552667_a_at,SH2D3C,10044.0
1552669_at,PPP1R3B,79660.0
1552670_a_at,PPP1R3B,79660.0
1552671_a_at,SLC9A7,84679.0
1552672_a_at,IGSF3,3321.0
1552673_at,RFX6,222546.0
1552674_at,DIRC1,116093.0
1552675_at,DNAJB7,150353.0
1552676_at,UCN3,114131.0
1552677_a_at,DIP2A,23181.0
1552678_a_at,USP28,57646.0
1552680_a_at,CASC5,57082.0
1552682_a_at,CASC5,57082.0
1552684_a_at,SENP8,123228.0
1552685_a_at,GRHL1,29841.0
1552686_at,CNBD2,140894.0
1552687_a_at,CNBD2,140894.0
1552689_at,CASKIN1,57524.0
1552690_a_at,CACNA2D4,93589.0
1552691_at,ARL11,115761.0
1552693_at,ARL11,115761.0
1552694_at,SLC2A13,114134.0
1552695_a_at,SLC2A13,114134.0
1552696_at,NIPA1,123606.0
1552698_at,TUBA3FP,113691.0
1552701_a_at,CARD16,114769.0
1552703_s_at,CARD16 /// CASP1,834.0
1552705_at,DUSP19,142679.0
1552708_a_at,DUSP19,142679.0
1552711_a_at,CYB5D1,124637.0
1552712_a_at,NMNAT2,23057.0
1552713_a_at,SLC4A1,6521.0
1552714_at,CREG2,200407.0
1552715_a_at,RXFP1,59350.0
1552716_at,SPEF2,79925.0
1552717_s_at,CEP170 /// CEP170P1,9859.0
1552718_at,DTD1,92675.0
1552719_at,CASC4,113201.0
1552721_a_at,FGF1,2246.0
1552722_at,ARPP21,10777.0
1552724_at,RHOXF1,158800.0
1552725_s_at,ADAMTS17,170691.0
1552726_at,ADAMTS17,170691.0
1552727_s_at,ADAMTS17,170691.0
1552729_at,SNHG7 /// SNORA17 /// SNORA43,84973.0
1552730_at,DHH,50846.0
1552731_at,ABRA,137735.0
1552732_at,ABRA,137735.0
1552733_at,KLHDC1,122773.0
1552734_at,RICTOR,253260.0
1552735_at,PCDHGA4,56111.0
1552736_a_at,NETO1,81832.0
1552737_s_at,WWP2,11060.0
1552738_a_at,ST7L,54879.0
1552739_s_at,ST7L,54879.0
1552740_at,C2orf15,150590.0
1552742_at,KCNH8,131096.0
1552743_at,MCF2L,23263.0
1552745_at,SLCO6A1,133482.0
1552747_a_at,PP2D1,151649.0
1552749_a_at,KLC3,147700.0
1552750_at,CIB3,117286.0
1552751_a_at,CIB3,117286.0
1552752_a_at,CADM2,253559.0
1552754_a_at,CADM2,253559.0
1552755_at,C9orf66,157983.0
1552757_s_at,C9orf66,157983.0
1552758_at,HDAC9,9734.0
1552760_at,HDAC9,9734.0
1552761_at,SLC16A11,162515.0
1552763_at,TMEM67,91147.0
1552765_x_at,TMEM67,91147.0
1552766_at,HS6ST2,90161.0
1552767_a_at,HS6ST2,90161.0
1552768_at,CAMKK1,84254.0
1552769_at,ZNF625,90589.0
1552770_s_at,ZNF563,147837.0
1552771_a_at,LIN9,286826.0
1552772_at,CLEC4D,338339.0
1552773_at,CLEC4D,338339.0
1552774_a_at,SLC25A27,9481.0
1552775_at,GPRC6A,222545.0
1552777_a_at,RAET1E,135250.0
1552779_a_at,SLC44A5,204962.0
1552782_at,SLC44A5,204962.0
1552783_at,ZNF417,147687.0
1552785_at,ZNF781,163115.0
1552787_at,HELB,92797.0
1552788_a_at,HELB,92797.0
1552789_at,SEC62,7095.0
1552790_a_at,SEC62,7095.0
1552791_a_at,TRDN,10345.0
1552792_at,SOCS4,122809.0
1552793_at,C8orf31,286122.0
1552794_a_at,ZNF547,284306.0
1552796_a_at,SIM1,6492.0
1552797_s_at,PROM2,150696.0
1552798_a_at,TLR4,7099.0
1552799_at,TSNARE1,203062.0
1552800_at,ABHD11,83451.0
1552801_at,CAPN13,92291.0
1552803_a_at,STMN1,3925.0
1552804_a_at,TIRAP,114609.0
1552806_a_at,SIGLEC10,89790.0
1552807_a_at,SIGLEC10,89790.0
1552808_at,ADAMTSL1,92949.0
1552809_at,RFX4,5992.0
1552811_at,WFIKKN1,117166.0
1552812_a_at,SENP1,29843.0
1552813_at,KLF14,136259.0
1552814_a_at,KLF14,136259.0
1552816_at,NXNL2,158046.0
1552818_a_at,BRS3,680.0
1552819_at,LINC00205 /// LOC102723489 /// LOC102725097,257103.0
1552822_at,TMX3,54495.0
1552825_at,ZNF396,252884.0
1552826_at,SLC26A7,115111.0
1552827_s_at,SLC26A7,115111.0
1552828_at,SNX18,112574.0
1552829_at,,
1552830_at,FBXO39,162517.0
1552833_at,B3GNT6,192134.0
1552834_at,B3GNT6,192134.0
1552835_at,DENND1B,163486.0
1552836_at,ZNF619,285267.0
1552837_at,ICK,22858.0
1552839_at,FAM71D,161142.0
1552841_s_at,BCL2L14,79370.0
1552842_at,HS6ST3,266722.0
1552843_at,SLC26A1,10861.0
1552845_at,CLDN15,24146.0
1552846_s_at,RAB42,115273.0
1552848_a_at,PTCHD1,139411.0
1552849_at,M1AP,130951.0
1552851_at,ZSCAN4,201516.0
1552852_a_at,ZSCAN4,201516.0
1552853_at,VWA5B1,127731.0
1552854_a_at,VWA5B1,127731.0
1552856_at,LINC00311,197196.0
1552857_a_at,HTR6,3362.0
1552858_at,MAGEB6,158809.0
1552860_at,LOC101060464 /// LOC101929858 /// LOC101930165 /// LOC101930171 /// TCEB3C /// TCEB3CL /// TCEB3CL2,162699.0
1552862_at,RUSC1-AS1,284618.0
1552863_a_at,CACNG6,59285.0
1552865_a_at,LMNTD1,160492.0
1552867_at,,
1552868_at,CIRBP-AS1,148046.0
1552870_s_at,AXDND1,126859.0
1552872_at,ASMTL-AS1,80161.0
1552873_s_at,ASMTL-AS1,80161.0
1552875_a_at,CD200R1,131450.0
1552876_at,LINC00334,114042.0
1552877_s_at,LINC00334,114042.0
1552878_at,ATOH7,220202.0
1552879_a_at,ATOH7,220202.0
1552880_at,SEC16B,89866.0
1552882_a_at,AMER1,139285.0
1552884_at,NKX6-3,157848.0
1552885_a_at,NKX6-3,157848.0
1552887_at,TBATA,219793.0
1552889_a_at,EXOC3L2,90332.0
1552890_a_at,CABP4,57010.0
1552892_at,TNFRSF13C,115650.0
1552893_at,CAMK2N2,94032.0
1552895_a_at,ANKRD30BP2,149992.0
1552897_a_at,KCNG3,170850.0
1552898_a_at,KCNG3,170850.0
1552899_at,LINC01312,154089.0
1552900_a_at,LINC01312,154089.0
1552902_a_at,FOXP2,93986.0
1552903_at,B4GALNT2,124872.0
1552904_at,NETO1,81832.0
1552906_at,FMR1NB,158521.0
1552908_at,GCSAML,148823.0
1552910_at,SIGLEC11,114132.0
1552911_at,SIGLEC11,114132.0
1552912_a_at,IL23R,149233.0
1552913_at,MAGEB18,286514.0
1552914_a_at,CD276,80381.0
1552915_at,IFNL2,282616.0
1552917_at,IFNL1,282618.0
1552919_at,C4orf36,132989.0
1552921_a_at,FIGNL1,63979.0
1552922_at,RIMS1,22999.0
1552923_a_at,PITPNM2,57605.0
1552924_a_at,PITPNM2,57605.0
1552925_at,PCDH10,57575.0
1552927_at,TAB3,257397.0
1552928_s_at,TAB3,257397.0
1552929_at,GRK7,131890.0
1552930_at,MMEL1,79258.0
1552931_a_at,PDE8A,5151.0
1552932_at,NLRP6,171389.0
1552933_at,AKNAD1,254268.0
1552935_at,ZCCHC5,203430.0
1552937_s_at,ATRIP /// TREX1,11277.0
1552938_at,ZIC5,85416.0
1552939_at,ANGPT1,284.0
1552940_at,TEDDM1,127670.0
1552942_at,LOC149373,149373.0
1552943_at,GABRG1,2565.0
1552944_a_at,PANX2,56666.0
1552946_at,ZNF114,163071.0
1552947_x_at,ZNF114,163071.0
1552948_at,CCDC27,148870.0
1552950_at,C15orf26,161502.0
1552952_at,LOC100652931 /// RBMY2FP,159162.0
1552953_a_at,NEUROD2,4761.0
1552954_at,C5orf17,439936.0
1552955_at,LINC00208,83655.0
1552957_at,DNAH6,1768.0
1552960_at,LRRC15,131578.0
1552961_at,,
1552964_at,TTC40,54777.0
1552965_a_at,B3GNT7,93010.0
1552967_at,ZNF645,158506.0
1552969_a_at,ZMYM6,9204.0
1552970_s_at,ZMYM6,9204.0
1552971_at,SGCZ,137868.0
1552972_at,LOC100507431,100507431.0
1552973_at,WNT9B,7484.0
1552974_at,,
1552975_x_at,,
1552976_at,,
1552977_a_at,CNPY3,10695.0
1552978_a_at,SCAMP1,9522.0
1552979_at,LINC00471,151477.0
1552980_at,HAS3,3038.0
1552982_a_at,FGF4,2249.0
1552985_at,SLC30A8,169026.0
1552986_at,LOC142937,142937.0
1552987_a_at,LOC439933,439933.0
1552988_at,C11orf65,160140.0
1552990_at,FAM71E2,284418.0
1552991_at,OR5P2,120065.0
1552993_at,DYDC1,143241.0
1552995_at,IL27,246778.0
1552997_a_at,IQCF1,132141.0
1552998_at,DEFB125,245938.0
1552999_a_at,WFDC10B,280664.0
1553002_at,DEFB105A /// DEFB105B,245908.0
1553003_at,PKHD1,5314.0
1553004_at,PKD1L1,168507.0
1553006_at,GPR112,139378.0
1553007_a_at,TENM1,10178.0
1553009_s_at,REXO1L1P,254958.0
1553011_at,TAF1L,138474.0
1553013_at,CNTNAP5,129684.0
1553015_a_at,RECQL4,9401.0
1553016_at,GPR113,165082.0
1553019_at,TMC2,117532.0
1553020_at,SMCR5,140771.0
1553021_s_at,BICD2,23299.0
1553022_at,ZIM3,114026.0
1553023_a_at,NOX5,79400.0
1553024_at,DAOA-AS1,282706.0
1553025_at,GPR126,57211.0
1553027_a_at,KLHL4,56062.0
1553028_at,GPR156,165829.0
1553030_a_at,SUOX,6821.0
1553031_at,GPR115,221393.0
1553032_at,IL31RA,133396.0
1553033_at,SYTL5,94122.0
1553034_at,SDCCAG8,10806.0
1553036_at,GPR111,222611.0
1553037_a_at,SYN2,6854.0
1553039_a_at,ASB10,136371.0
1553041_at,HTR3C,170572.0
1553042_a_at,NFKBID,84807.0
1553043_a_at,CD300LF,146722.0
1553044_at,GJA10,84694.0
1553045_at,WNT9A,7483.0
1553046_s_at,GAL3ST2,64090.0
1553047_at,PIP4K2B,8396.0
1553048_a_at,PIP4K2B,8396.0
1553051_s_at,ODF3,113746.0
1553052_at,WFDC13,164237.0
1553053_at,LINC00521,256369.0
1553055_a_at,SLFN5,162394.0
1553057_at,SERPINB12,89777.0
1553058_at,GIPC3,126326.0
1553059_at,PGLYRP3,114771.0
1553060_at,PSKH2,85481.0
1553061_at,OR6W1P,89883.0
1553062_at,MOGAT1,116255.0
1553063_at,GPR78,27201.0
1553064_at,H1FOO,132243.0
1553066_at,TAAR9,134860.0
1553067_a_at,GNRHR2,114814.0
1553069_at,,
1553070_a_at,MYOZ3,91977.0
1553071_a_at,MYOZ3,91977.0
1553072_at,BNIPL,149428.0
1553074_at,ASB11,140456.0
1553075_a_at,OFCC1,266553.0
1553076_at,OFCC1,266553.0
1553077_at,SDR9C7,121214.0
1553078_at,OR5P3,120066.0
1553079_at,TRIM40,135644.0
1553080_at,CSN1S2AP,286828.0
1553081_at,WFDC12,128488.0
1553082_at,CRYGN,155051.0
1553083_at,,
1553084_at,STARD6,147323.0
1553086_at,C11orf40,143501.0
1553087_at,C18orf12,84322.0
1553088_a_at,BCL2L11,10018.0
1553089_a_at,WFDC2,10406.0
1553093_a_at,DEFB119,245932.0
1553094_at,FLJ45513 /// TAC4,255061.0
1553096_s_at,BCL2L11,10018.0
1553099_at,TIGD1,200765.0
1553101_a_at,ALKBH5,54890.0
1553102_a_at,CCDC69,26112.0
1553103_at,NFX1,4799.0
1553105_s_at,DSG2,1829.0
1553106_at,C5orf24,134553.0
1553107_s_at,C5orf24,134553.0
1553108_at,C5orf24,134553.0
1553111_a_at,KBTBD6,89890.0
1553112_s_at,CDK8,1024.0
1553113_s_at,CDK8,1024.0
1553114_a_at,PTK6,5753.0
1553115_at,NKD1,85407.0
1553117_a_at,STK38,11329.0
