probe_id,log2FC
1552643_at,0.020126093500000053
1552644_a_at,-0.07583691037500007
1552646_at,-0.20935556425000001
1552648_a_at,-0.006799380624999962
1552649_a_at,1.863612500008216e-05
1552651_a_at,0.0020792066249994967
1552652_at,-0.014273772499999726
1552656_s_at,-0.07677834574999975
1552657_a_at,0.018403449000000016
1552658_a_at,0.49562316537500006
1552660_a_at,-0.10908879875000022
1552661_at,-0.005080408500000022
1552662_a_at,0.0
1552663_a_at,0.20321229587499934
1552664_at,-0.10347867462500027
1552665_at,0.004223732999999896
1552666_a_at,-0.05671155237499992
1552667_a_at,-0.01991498537500025
1552669_at,0.0
1552670_a_at,-0.007044822749999291
1552671_a_at,0.029958859625000223
1552672_a_at,0.0
1552673_at,0.0
1552674_at,0.027192901249999846
1552675_at,0.017397261250000184
1552676_at,0.014885367249999781
1552677_a_at,-0.17968143637500011
1552678_a_at,-0.1703957112500003
1552680_a_at,-0.014481859750000048
1552682_a_at,0.00157679312499992
1552684_a_at,-0.004073621000000749
1552685_a_at,0.007725441999999916
1552686_at,0.040337181750000006
1552687_a_at,0.015828211500000577
1552689_at,-0.03152216500000016
1552690_a_at,0.00014111974999986288
1552691_at,0.2579061742500004
1552693_at,0.0
1552694_at,0.03369676487499973
1552695_a_at,-0.11063313762499982
1552696_at,0.005341491999999892
1552698_at,0.17110970087500021
1552701_a_at,-0.01375310212500036
1552703_s_at,-0.05662344400000041
1552705_at,0.08644143325000009
1552708_a_at,0.0709325928750002
1552711_a_at,0.17259664225000115
1552712_a_at,-0.0005971313750001706
1552713_a_at,-0.040268177625000234
1552714_at,-0.00023482637500027437
1552715_a_at,0.0
1552716_at,-0.25533172374999946
1552717_s_at,-0.21814246187499986
1552718_at,-0.06893967962500014
1552719_at,-0.20057708350000025
1552721_a_at,0.06172937087500019
1552722_at,0.3233717293749998
1552724_at,0.0
1552725_s_at,0.0018190375000002312
1552726_at,-0.2939256189999999
1552727_s_at,-0.2428778385000001
1552729_at,0.004604250749999039
1552730_at,0.0
1552731_at,-0.3136902453749997
1552732_at,-0.28398532874999916
1552733_at,-0.24776954012499708
1552734_at,0.001209413500000256
1552735_at,0.22304071949999926
1552736_a_at,-0.01003656887499993
1552737_s_at,-0.019020152249999978
1552738_a_at,0.0695798635
1552739_s_at,0.016003184875000187
1552740_at,0.02063220475000005
1552742_at,0.0
1552743_at,0.0
1552745_at,0.0
1552747_a_at,0.0014638156249997536
1552749_a_at,0.21202491475000018
1552750_at,0.02867536975000018
1552751_a_at,-0.054546521000000237
1552752_a_at,-0.4655260649999997
1552754_a_at,-0.2556206588749994
1552755_at,-0.10411388637499996
1552757_s_at,0.002102252874999877
1552758_at,0.0
1552760_at,0.00046726624999982036
1552761_at,-0.008035343750000035
1552763_at,0.0016958511250000363
1552765_x_at,-0.0007029431249998552
1552766_at,-0.3752513473750003
1552767_a_at,-0.36327717550000216
1552768_at,0.0
1552769_at,-0.033389278625000074
1552770_s_at,0.015314839374999778
1552771_a_at,0.0
